logFC	logCPM	LR	PValue	FDR
HMPREF1120_04490	-6.49383682147949	7.34897975616813	897.897269888688	2.81144493292277e-197	2.48447388722385e-193
HMPREF1120_05757	5.01807279938863	6.24160730234651	608.872404050757	1.96790402208102e-134	8.69518392156498e-131
HMPREF1120_07904	-5.38424222916435	7.01156055501114	602.754981323122	4.21280096934097e-133	1.24095073886887e-129
HMPREF1120_06827	4.24543084924907	7.24199066191441	588.64308487875	4.94376216957366e-130	1.09220065731306e-126
HMPREF1120_00488	-5.35226357922288	5.70996136521482	562.830795126982	2.03623840193822e-124	3.59884775158561e-121
HMPREF1120_03252	-6.07632485590523	9.87305422879357	545.653262560593	1.11067986688916e-120	1.63584633061658e-117
HMPREF1120_01949	3.773002152864	7.69835336242381	523.508061040216	7.29997955363997e-116	9.21570275935949e-113
HMPREF1120_07428	-3.9680272605536	7.36555702043949	513.591334156408	1.04917637576321e-113	1.15894645407743e-110
HMPREF1120_03107	-4.50523701188714	9.55035039489546	513.286918073409	1.22202436386279e-113	1.19989214482839e-110
HMPREF1120_01436	4.56294219301191	5.44641795373074	505.699073628797	5.46991775897176e-112	4.83376632360334e-109
HMPREF1120_00789	5.43859986205136	5.99763327765183	504.315018112784	1.09425219837217e-111	8.79082425183167e-109
HMPREF1120_08384	4.25303428374553	8.84368121165283	488.550002873085	2.94656427072713e-108	2.16989903836797e-105
HMPREF1120_01292	-4.5627675202931	7.97457129108381	474.840873746747	2.83380879663269e-105	1.92633602583408e-102
HMPREF1120_03422	-4.31520577994293	8.1721352374796	472.547475941181	8.94174912952041e-105	5.64415978982656e-102
HMPREF1120_08764	4.65435997823588	8.99256338338373	456.764796248356	2.43182782409532e-101	1.43267083210202e-98
HMPREF1120_06024	-3.49121702034956	7.54287723473836	455.930674491297	3.69364580195747e-101	2.04004674699363e-98
HMPREF1120_06206	4.13220480212679	6.72389669272849	444.6361724723	1.06034764694446e-98	5.51193656238128e-96
HMPREF1120_08564	-4.55200715263462	8.95907510178027	440.326883539366	9.18975263083355e-98	4.51165799992645e-95
HMPREF1120_05711	3.21637874032876	6.58979769797678	431.299985419454	8.47124634921058e-96	3.94002126252494e-93
HMPREF1120_08078	-6.34191794885884	12.1969236569956	429.837757378623	1.76278826514002e-95	7.78887994952117e-93
HMPREF1120_02090	-3.18569372214799	6.28410508117782	428.758936558025	3.02695727223695e-95	1.27377244832181e-92
HMPREF1120_01656	-5.57984951631684	8.11725400846096	427.708794517015	5.12355946877225e-95	2.05804068297911e-92
HMPREF1120_09051	-3.74680270329549	8.99898650316874	412.021951196334	1.33046126232537e-91	5.11186355442143e-89
HMPREF1120_02089	-3.11052732404045	6.04625469409771	409.617899409339	4.43915233555717e-91	1.63453288288828e-88
HMPREF1120_05958	-2.95214945619834	6.35931164909039	401.773595674512	2.2638480798353e-89	8.00225019260182e-87
HMPREF1120_00502	-3.02495479740787	5.99949702671334	396.897383905886	2.6082046920019e-88	8.86488648585414e-86
HMPREF1120_01707	5.37764981395893	4.61303813997778	379.4688488439	1.62405752039514e-84	5.31548011397477e-82
HMPREF1120_03103	-4.55971080022994	10.3416959746883	379.306430444511	1.76182428766268e-84	5.56044329645539e-82
HMPREF1120_02375	3.78935573390464	5.58616012621068	376.109359930424	8.75036279723087e-84	2.58828977959288e-81
HMPREF1120_02828	-3.0329778840453	6.08677002028715	376.101077620262	8.78677078055747e-84	2.58828977959288e-81
HMPREF1120_05189	-3.73560908226479	6.57606729100836	372.43912009997	5.50968420186524e-83	1.57061546102849e-80
HMPREF1120_07241	2.80808854838727	6.24497787501911	366.588304002519	1.0352262116832e-81	2.85884188520138e-79
HMPREF1120_05927	-4.10659612247523	7.01552041349769	362.952966702869	6.40606210697248e-81	1.71546578300957e-78
HMPREF1120_01991	-3.54298903138346	6.43614964451171	362.025340274712	1.0199416572056e-80	2.6509483602135e-78
HMPREF1120_02505	-5.87108259368891	6.40872475490797	361.946139484684	1.06125760349145e-80	2.67952384058684e-78
HMPREF1120_07555	-3.39013143952614	6.7385193395043	354.797791638166	3.82272012613623e-79	9.38371604296274e-77
HMPREF1120_08065	-3.50294883112224	7.00264342880052	338.332125149074	1.47267412971993e-75	3.51730304982028e-73
HMPREF1120_06099	-4.73769917313152	6.12892161956626	333.957996644659	1.32052224229444e-74	3.07090922504104e-72
HMPREF1120_05190	-3.47842268759987	6.83345673557972	322.640851190674	3.85189058348479e-72	8.72798899647566e-70
HMPREF1120_05119	-3.10833957197212	7.89081732182935	320.070195801384	1.39833452461567e-71	3.08927054850717e-69
HMPREF1120_02475	-5.77587209313539	8.48847233837278	318.449096155724	3.15300167676287e-71	6.79587215062279e-69
HMPREF1120_06212	3.26460221245122	7.66416524036437	312.193785625672	7.26655568237611e-70	1.52891791821804e-67
HMPREF1120_03104	-3.23623191646356	9.13680278684617	307.511478187637	7.60920634040462e-69	1.56378038209664e-66
HMPREF1120_04969	-2.84853237283818	6.86992455796617	306.588793448146	1.20877689779172e-68	2.42771851040577e-66
HMPREF1120_05609	-3.49915582848438	6.89817967244838	305.234646718613	2.38424245700388e-68	4.6821223538985e-66
HMPREF1120_05522	-2.64906234375216	6.2228755143738	302.754364381167	8.27364957013218e-68	1.58944002720126e-65
HMPREF1120_03106	-3.87346381253748	8.62190034804239	298.864970083445	5.82180556570982e-67	1.09462331455697e-64
HMPREF1120_00818	-4.0804285777699	7.81437620362874	296.811110761378	1.63130482789775e-66	3.00330015919425e-64
HMPREF1120_02740	-2.48706367417134	6.9525122391172	296.440938475686	1.96420224137527e-66	3.54237861368026e-64
HMPREF1120_02118	2.53674676531642	6.81297475573583	295.022661130069	4.00125002426687e-66	7.07180929288926e-64
HMPREF1120_02770	2.99413073036143	5.50673135565813	293.807415661639	7.36161691666312e-66	1.27558056259906e-63
HMPREF1120_01242	-3.89137356933981	7.59838297544658	292.683493624379	1.29376817221063e-65	2.19865948804334e-63
HMPREF1120_08469	3.26260111467427	7.03079704593507	289.984073648247	5.01217843116822e-65	8.3570982634403e-63
HMPREF1120_06665	3.32402509866216	7.01449286889819	289.148940314196	7.62071009404719e-65	1.24711509446472e-62
HMPREF1120_03941	-3.96962310384026	5.11804766466431	287.979281898996	1.37043272657356e-64	2.20191163722373e-62
HMPREF1120_04993	2.19574960733166	6.31961703575743	278.160067352345	1.89040118128821e-62	2.98312057840069e-60
HMPREF1120_04010	-2.41111421399116	7.03944601392294	278.107821869904	1.94061526732811e-62	3.00863458199623e-60
HMPREF1120_05471	-2.86351731724632	8.73462568611752	277.809795350297	2.25364890756518e-62	3.43370610278509e-60
HMPREF1120_00582	3.69426650964417	4.96348523544563	275.47561931977	7.27051750151691e-62	1.088975646795e-59
HMPREF1120_00323	-2.20181025608627	6.43221222647342	273.627197194214	1.83821616557378e-61	2.70738604252926e-59
HMPREF1120_04651	-5.51103698922412	8.41704896647061	270.995434970539	6.88588859317523e-61	9.97550778653926e-59
HMPREF1120_08591	-3.13204676885753	8.05512688200373	270.931977845878	7.10869721931006e-61	1.01321866656521e-58
HMPREF1120_00310	-2.23644048324991	6.18460928846941	270.789071995576	7.63722110165236e-61	1.07127179167146e-58
HMPREF1120_07637	-4.32820322238215	4.51114804859394	270.664120459714	8.13144521784075e-61	1.12277470921967e-58
HMPREF1120_08077	-2.55572743900073	6.55568750830825	269.896162161725	1.19547437839949e-60	1.62529339721789e-58
HMPREF1120_00548	-2.73397932774868	6.94983490793722	268.733850130988	2.14221697719358e-60	2.86829870113025e-58
HMPREF1120_03105	-4.31376519289634	8.96271869087715	267.63531196948	3.71784221867309e-60	4.9036674158827e-58
HMPREF1120_05854	-2.69181586904764	7.11043493709244	267.284643265219	4.43323047072163e-60	5.76124377496574e-58
HMPREF1120_01400	-3.13677269663235	6.55296652156986	266.765769608413	5.75189755668928e-60	7.36659691427002e-58
HMPREF1120_03543	-4.6107768398411	7.73257363860335	265.702292907529	9.80851310556054e-60	1.23825471876912e-57
HMPREF1120_06354	-3.49475491164415	5.11418226509933	263.611257110216	2.80135906848027e-59	3.48670564621974e-57
HMPREF1120_03575	-3.4206091986888	8.6788178698767	262.359440471971	5.25077272498372e-59	6.44459424592794e-57
HMPREF1120_00309	-2.82234067651654	8.38399062541214	261.945798207546	6.46226199611656e-59	7.82287798077836e-57
HMPREF1120_05607	-4.09548796869853	8.40658152617658	260.638138627734	1.24571244564014e-58	1.48761633542188e-56
HMPREF1120_04139	-2.29709031147979	6.00678439616909	259.862244527212	1.83883844257873e-58	2.16664204227576e-56
HMPREF1120_07873	-3.01557119148285	9.62789728705068	258.979574690674	2.86382279023315e-58	3.32994763122242e-56
HMPREF1120_09258	-4.39478483195736	6.37177880122859	258.633813323838	3.40655317922889e-58	3.9095727850449e-56
HMPREF1120_05608	-2.5763093191553	7.37633429087387	254.895143647401	2.22481900604009e-57	2.52060584056106e-55
HMPREF1120_08820	2.93926034799075	8.37536311147437	249.425153071003	3.46546932673379e-56	3.87650030890462e-54
HMPREF1120_03768	-3.77013862859096	7.94107029489678	248.548496278927	5.38126271601478e-56	5.94427732767783e-54
HMPREF1120_02300	-3.14644746411358	7.66244305922507	247.221239063994	1.04772648127747e-55	1.14305665617889e-53
HMPREF1120_03128	2.25812724370138	6.97472513822458	245.196519530745	2.89522086511677e-55	3.1201300957362e-53
HMPREF1120_01791	2.23369605616649	5.67896329656161	243.985711242355	5.31706191827181e-55	5.6610694182853e-53
HMPREF1120_04931	-2.64916725687243	8.96518126168232	239.756460956349	4.44434758230344e-54	4.6755594743828e-52
HMPREF1120_08075	-4.61168347023804	8.7400904072511	227.448008654618	2.14734871010414e-51	2.23248477072827e-49
HMPREF1120_04227	-3.99019754528216	7.31941416003711	224.38554730998	9.99598820028056e-51	1.02714590378929e-48
HMPREF1120_01851	-2.18404546048742	7.5147010488657	223.765235143393	1.36496241809621e-50	1.38645665387543e-48
HMPREF1120_06697	-2.32637478169417	6.93717819729505	221.853469859478	3.56534929298739e-50	3.58033996615109e-48
HMPREF1120_07373	-2.30793136824551	6.44350284548796	218.63531839622	1.79497980592652e-49	1.78227376909805e-47
HMPREF1120_07890	2.46221214547329	6.94783630799782	216.903414108644	4.28399802503891e-49	4.20641006080765e-47
HMPREF1120_08565	-2.69400842033823	8.18989797615512	215.088238837037	1.06614900798918e-48	1.03533613006598e-46
HMPREF1120_00503	-2.92514411504773	5.07652706444634	214.636005906601	1.33804871234091e-48	1.28525396423442e-46
HMPREF1120_08804	-2.3975708131612	6.69546485680979	213.088104932277	2.91173381283523e-48	2.76677330150805e-46
HMPREF1120_08068	2.89981538294634	5.81478433814551	211.974389621657	5.09470824786896e-48	4.78956774323596e-46
HMPREF1120_06058	2.32805207559159	6.96881753097779	211.827468584294	5.48494133296223e-48	5.10215016414603e-46
HMPREF1120_08447	-3.16205384282536	4.35793020760859	210.108021700119	1.30106370234571e-47	1.19765624350302e-45
HMPREF1120_08277	-3.36641600287327	8.49831797670624	206.316603290657	8.74000601494490e-47	7.96241578907918e-45
HMPREF1120_00328	-3.20241873947292	5.67309339921911	206.225534545263	9.14917682222544e-47	8.25013016102105e-45
HMPREF1120_00849	-1.97439268586816	7.38712735552092	205.104888735419	1.60656811574051e-46	1.43406489280797e-44
HMPREF1120_04514	-2.98938765218859	8.95018309057099	205.06957542966	1.63532608561336e-46	1.44513766185653e-44
HMPREF1120_00903	-1.90920885776312	6.54596938626913	204.395293054003	2.29472829725183e-46	2.00777365968459e-44
HMPREF1120_04386	-1.85732076600799	6.63918640980536	202.550109249874	5.79906732081577e-46	5.02415273667147e-44
HMPREF1120_01425	-2.33522428172029	8.24159341938605	202.17462987745	7.00311866900241e-46	6.00840385223052e-44
HMPREF1120_04471	2.84116336207746	8.23835182981163	202.126028503797	7.17623814730625e-46	6.09773235651398e-44
HMPREF1120_02313	-2.09750953859508	5.94839789269626	201.809364139676	8.4138895947374e-46	7.08128974749471e-44
HMPREF1120_02506	-2.89022812155629	7.48214785442969	201.332285664835	1.0693061169515e-45	8.91458316556643e-44
HMPREF1120_07508	2.20071047655535	8.23276336622088	200.856151478713	1.35832104267157e-45	1.12182084617651e-43
HMPREF1120_08708	-2.65958963020932	8.58915724625145	200.368853530431	1.7351625412241e-45	1.41978068303679e-43
HMPREF1120_02771	-2.191291210776	7.23364667864412	200.187007502752	1.90117794746325e-45	1.54134949740667e-43
HMPREF1120_04648	-2.31278468018685	8.08005181655395	198.098704537856	5.42933707689632e-45	4.36173197713934e-43
HMPREF1120_04829	-2.35177811938208	6.77641345685537	197.962455385774	5.81407811618599e-45	4.62873948763384e-43
HMPREF1120_01762	-2.50126378632625	8.41942851429553	197.528225394493	7.23177385505764e-45	5.70599871045932e-43
HMPREF1120_03169	3.54522968123376	10.6763563181189	197.231896951126	8.39294782367289e-45	6.56358229361039e-43
HMPREF1120_00299	-2.19558827600972	7.99097642978471	196.940563086331	9.71616046615106e-45	7.53172895082254e-43
HMPREF1120_08350	-2.88827139863414	7.77200114941758	196.872161403754	1.00559383222082e-44	7.72733277855249e-43
HMPREF1120_07905	-3.06916934252087	5.82818950332678	194.382977656826	3.51299450479058e-44	2.67623555507193e-42
HMPREF1120_00711	-2.19979329545087	6.79452223268359	193.6492867454	5.07936400836073e-44	3.8364392941781e-42
HMPREF1120_08053	-3.34227478202131	6.46407751676342	193.442757595651	5.63489659902177e-44	4.2199645123352e-42
HMPREF1120_02454	2.56293517597907	5.08294931586205	192.604515174973	8.58699990825716e-44	6.37674942766963e-42
HMPREF1120_00554	-2.3569264354306	8.53263611762935	191.745952331434	1.3220147391386e-43	9.71447640468807e-42
HMPREF1120_05643	3.01186206384885	4.82531343211639	191.733748925065	1.33014783859597e-43	9.71447640468807e-42
HMPREF1120_02825	-2.65132336012513	5.86595502671226	190.789456661146	2.13801890323102e-43	1.54866172523382e-41
HMPREF1120_02563	2.58891914366746	8.16576885605284	190.221510717839	2.84433131710039e-43	2.04352486578993e-41
HMPREF1120_00038	2.39787008887823	5.62803486362864	189.828784481828	3.46500429889738e-43	2.4693744346255e-41
HMPREF1120_06911	-2.65592586304941	7.7619992010614	188.872278410717	5.60392177242457e-43	3.96174853623327e-41
HMPREF1120_04221	-3.99506337580936	4.47622080747922	188.808960835114	5.78513313861865e-43	4.05739853539468e-41
HMPREF1120_07732	-2.21270129503157	7.0650357241165	188.335023293149	7.34121094139814e-43	5.10821110938073e-41
HMPREF1120_02371	2.33441788148147	6.29195615890679	187.949361899192	8.91155552593823e-43	6.1524543892747e-41
HMPREF1120_00339	1.74067887816941	6.22627743576325	186.929911450737	1.48762380402354e-42	1.01907996559349e-40
HMPREF1120_06245	-1.89915002536008	5.68882747842008	186.226320447584	2.11878203372163e-42	1.44028283323062e-40
HMPREF1120_00714	-2.26125888315863	7.55594902101256	183.03089429794	1.05604622955503e-41	7.12387826761666e-40
HMPREF1120_01952	-2.01179755900821	7.03434627366557	182.787907062093	1.19325245786241e-41	7.98846361373493e-40
HMPREF1120_05103	-1.85653413076485	6.34832359313657	181.345696680702	2.46380339384342e-41	1.6370398940898e-39
HMPREF1120_00590	-2.11675912219404	5.57433929233998	181.171320469965	2.68954007966776e-41	1.77369146895701e-39
HMPREF1120_00241	-2.05825224080405	7.37032067459655	178.981249927744	8.08831773138282e-41	5.29455287349852e-39
HMPREF1120_05149	-4.18561027340985	4.49436245582581	177.132069426864	2.04943037635488e-40	1.3316776644006e-38
HMPREF1120_03514	3.92672957015653	4.09049893657007	176.979310410741	2.21304200874625e-40	1.42749286359786e-38
HMPREF1120_00547	-3.04442277501418	8.64668275895488	176.75139464643	2.48174801744721e-40	1.58921791523051e-38
HMPREF1120_07627	-2.4752663345626	6.85475781477113	174.608745876702	7.28864927767468e-40	4.63379810552598e-38
HMPREF1120_04598	-2.37623548202117	7.63514824342493	173.610926918743	1.2037914486649e-39	7.59850359417978e-38
HMPREF1120_07574	-1.87574751406083	6.53652385752786	171.909057897266	2.8328428761325e-39	1.77544911321864e-37
HMPREF1120_07397	2.04729099802216	5.54238710371505	171.065044590376	4.33066185558076e-39	2.69507456463149e-37
HMPREF1120_05464	2.17610009887649	5.29687075739001	170.880734796506	4.75125196776897e-39	2.93614081392828e-37
HMPREF1120_04140	-2.19742187180408	6.98522996557345	170.606361617694	5.45421696042444e-39	3.3471468943938e-37
HMPREF1120_02951	-2.26709189049801	5.31698804399915	169.929846775325	7.66458543760569e-39	4.67116838014631e-37
HMPREF1120_07099	-2.41137365482305	7.36173169057909	169.792391706129	8.21316160223607e-39	4.97121295061371e-37
HMPREF1120_08527	-3.89108414200395	5.89333195845808	169.676557130936	8.70582676284751e-39	5.23356402063153e-37
HMPREF1120_03062	-2.6673589756929	4.90487020660912	168.873714586929	1.3036563788346e-38	7.784061770109e-37
HMPREF1120_05303	-2.2882737277699	5.3681936372326	168.496137071482	1.57628050511655e-38	9.34871867363423e-37
HMPREF1120_02869	-2.32401775012446	8.57378800084441	167.35401271313	2.79964186129973e-38	1.64936234188705e-36
HMPREF1120_04732	-2.4106684790193	5.93838611323953	166.074976529548	5.32706762880964e-38	3.11756931362853e-36
HMPREF1120_02711	-2.37619340141603	5.09582597192695	165.196536294493	8.28661594615217e-38	4.81768586290439e-36
HMPREF1120_06504	-2.81763317295948	6.57328763950074	162.186559762265	3.76643940617785e-37	2.17542647270547e-35
HMPREF1120_05504	-1.80264556172414	5.93770488980787	161.408011403232	5.57215214829379e-37	3.19747458016054e-35
HMPREF1120_04401	-2.00423404762754	6.75491429709151	161.084088990588	6.55832289747039e-37	3.7390902867707e-35
HMPREF1120_07559	-2.24615190226037	6.85459778836054	160.725524453442	7.85474618766916e-37	4.44951231156618e-35
HMPREF1120_03256	-3.08593128660661	4.72533006242759	160.516030367387	8.72776446876484e-37	4.91256398792833e-35
HMPREF1120_03196	-1.9901301957538	5.25490423480522	159.999469195926	1.13178598279972e-36	6.33012198101338e-35
HMPREF1120_07426	-1.66764453639099	6.94896287573125	158.638272532834	2.24479715870549e-36	1.24762720072204e-34
HMPREF1120_06305	2.04077709708472	7.41531544922005	158.091137236826	2.95615403199074e-36	1.63272082379388e-34
HMPREF1120_03232	-2.03905349828504	5.9729735565712	157.323399174069	4.34994096492498e-36	2.38760424267342e-34
HMPREF1120_06568	-4.7672147894322	5.51793830333628	157.308482992803	4.38270970981757e-36	2.39074109294184e-34
HMPREF1120_05195	2.17135301043843	8.16325135451771	156.294128773809	7.30120081862531e-36	3.95832586712833e-34
HMPREF1120_00485	2.61373596516166	4.67318477674046	155.569149180436	1.05152270200962e-35	5.66604031564574e-34
HMPREF1120_02142	-3.04855597962663	4.7613036979503	155.456077915292	1.11308334256301e-35	5.96140454438143e-34
HMPREF1120_03533	-2.07105935897562	5.24904079031523	155.286536479121	1.21220796616084e-35	6.45318180539962e-34
HMPREF1120_02870	-6.63780713227668	5.7056061198737	155.156439455247	1.29421691008425e-35	6.84849990084704e-34
HMPREF1120_07401	2.07378167942255	5.28746617532651	154.584696756101	1.72564333915843e-35	9.07708939770418e-34
HMPREF1120_02141	-1.96225241184134	6.13516605076722	153.425650792615	3.09206324837024e-35	1.61683804294957e-33
HMPREF1120_06479	-1.86013335732681	7.45880426684917	151.835033919823	6.884631493308e-35	3.57879344155076e-33
